Description,Status,Parking Included,Parking Price,Locker Included,Locker Price,Building Type,Deposit Structure
"10 Prince Arthur Condos is a new condominium development by North Drive currently under construction located at 10 Prince Arthur Avenue, Toronto in the The Annex neighbourhood with a 97/100 walk score and a 95/100 transit score. 10 Prince Arthur Condos is designed by Richard Wengle Architect Inc. and will feature interior design by Michael London Design Inc. & Gluckstein Design. Development is scheduled to be completed in 2025. The project is 7 storeys tall and has a total of 25 suites ranging from 1416 sq.ft to 5918 sq.ft. Suites are priced from $3,950,000 to $15,000,000.",Under Construction,Yes,Included (2),Yes,Included (1),Condo &Townhouse,"$20,000.00 On Signing || Balance to 5% - 30 days || 5% - 150 days || 5% - 365 days || 5% - Occupancy || "
"Charbonnel Towns is a new condominium development by Treasure Hill Homes that is now complete located at 361 Avenue Road, Toronto in the Summerhill neighbourhood with a 86/100 walk score and a 84/100 transit score. Charbonnel Towns is designed by Richard Wengle Architect Inc. and will feature interior design by Gluckstein Design. The project is 4 storeys tall and has a total of 19 suites.",Complete,Yes,-,Yes,-,Townhouse,
"The Foxbar at Imperial Village Condos is a new condominium development by Camrost-Felcorp that is now complete located at 99 Foxbar Road, Toronto in the Summerhill neighbourhood with a 86/100 walk score and a 89/100 transit score. The Foxbar at Imperial Village Condos is designed by Diamond + Schmitt Architects Inc. and ERA Architects. The project is 28 storeys tall and has a total of 258 suites ranging from 1150 sq.ft to 3160 sq.ft. Suites are priced from $4,500,000 to $4,500,000.",Complete,Yes,Included (2),Yes,-,Condo &Luxury &Townhouse,5% On Signing || 5% - 90 days || 5% - 180 days || 5% - 365 days || 
"The Davisville Condos is a new condominium development by The Rockport Group currently under construction located at 8 Manor Road West, Toronto in the Davisville Village neighbourhood with a 95/100 walk score and a 92/100 transit score. The Davisville Condos is designed by RAW Design and will feature interior design by Patton Design Studio. Development is scheduled to be completed in 2024. The project is 12 storeys tall and has a total of 71 suites ranging from 487 sq.ft to 1270 sq.ft. Suites are priced from $689,900 to $1,862,900.",Under Construction,Yes,Included (1),Yes,Included (1),Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 5% - 210 days || 5% - Occupancy || "
"346 Davenport Condos is a new condominium development by Freed Developments & Trolleybus Urban Development Inc that is now complete located at 346 Davenport Road, Toronto in the The Annex neighbourhood with a 94/100 walk score and a 94/100 transit score. 346 Davenport Condos is designed by RAW Design and will feature interior design by Burdifilek. Development is scheduled to be completed in 2023. The project is 9 storeys tall and has a total of 30 suites ranging from 1041 sq.ft to 2755 sq.ft. Suites are priced from $2,844,900 to $3,629,900.",Complete,Yes,Included (1),Yes,"$15,000",Condo &Luxury,"$10,000.00 On Signing || Balance to 5% - 30 days || 15% - Occupancy || "
"321 Davenport Condos is a new condominium development by Alterra currently under construction located at 321 Davenport, Toronto in the The Annex neighbourhood with a 95/100 walk score and a 96/100 transit score. 321 Davenport Condos is designed by Giannone Petricone Associates Inc. and will feature interior design by U31. Development is scheduled to be completed in 2026. The project is 9 storeys tall and has a total of 23 suites ranging from 697 sq.ft to 3620 sq.ft. Suites are priced from $1,976,990 to $6,799,990.",Under Construction,Yes,Included (1),Yes,Included (1),Condo,"$25,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 5% - 370 days || 5% - 610 days || 5% - Occupancy || "
"Downsview Towns is a new condominium development by Ace Development Ltd. currently in pre-construction located at 46 Monclova Road, Toronto in the Downsview neighbourhood with a 18/100 walk score and a 58/100 transit score. Downsview Towns is designed by Hunt Design Associates Inc.. Development is scheduled to be completed in 2023. The project is 3 storeys tall and has a total of 10 suites.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"8 Cumberland Condos is a new condominium development by Great Gulf Homes & Phantom Developments & Platinum Vista currently under construction located at 8 Cumberland Street, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 99/100 transit score. 8 Cumberland Condos is designed by architectsAlliance and will feature interior design by Tomas Pearce Interior Design Consulting Inc.. Development is scheduled to be completed in 2023. The project is 51 storeys tall (192.6m, 632.0ft) and has a total of 399 suites ranging from 399 sq.ft to 1845 sq.ft. 8 Cumberland Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $1,499,990 to $3,599,990.",Under Construction,Yes,"$169,990",Yes,Waitlist,Condo &Luxury,"$10,000.00 On Signing || Balance to 5% - 30 days || 2.5% - Jun 15, 2023 || 5% - Occupancy || "
"55C Condos is a new condominium development by MOD Developments Inc. currently under construction located at 55 Charles Street East, Toronto in the Church & Wellesley neighbourhood with a 99/100 walk score and a 97/100 transit score. 55C Condos is designed by architectsAlliance and will feature interior design by Cecconi Simone. Development is scheduled to be completed in 2024. The project is 50 storeys tall and has a total of 565 suites ranging from 335 sq.ft to 1684 sq.ft. Suites are priced from $1,012,900 to $2,170,900.",Under Construction,Yes,"$125,000",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Feb 15, 2024 || "
"Stockyards District Residences is a new condominium development by Greybrook Realty Partners & Marlin Spring Developments that is now complete located at 2306 Saint Clair Avenue West, Toronto in the Rockcliffe-Smythe neighbourhood with a 73/100 walk score and a 82/100 transit score. Stockyards District Residences is designed by Graziani + Corazza Architects Inc. and will feature interior design by U31. Development is scheduled to be completed in 2022. The project is 10 storeys tall and has a total of 242 suites ranging from 408 sq.ft to 1533 sq.ft. Suites are priced from $1,099,990 to $1,504,990.",Complete,Yes,"$60,000",Yes,Included (1),Condo,5% On Signing || 
"1414 Bayview Condos is a new condominium development by Gairloch currently under construction located at 1414 Bayview Avenue, Toronto in the Davisville Village neighbourhood with a 82/100 walk score and a 61/100 transit score. 1414 Bayview Condos is designed by architectsAlliance and will feature interior design by Sixteen Degree Studio Inc.. Development is scheduled to be completed in 2024. The project is 8 storeys tall and has a total of 44 suites ranging from 507 sq.ft to 2125 sq.ft. Suites are priced from $1,298,000 to $4,980,000.",Under Construction,Yes,"Included (1)
Additional Parking $78,000",Yes,"$7,500",Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - 180 days || 5% - 365 days || "
"Reunion Crossing Condos & Urban Towns is a new condominium development by Diamondcorp & Dundee Kilmer Developments Limited that is now complete located at  1808 Saint Clair Avenue West, Toronto in the Corso Italia-Earlscourt neighbourhood with a 93/100 walk score and a 81/100 transit score. Reunion Crossing Condos & Urban Towns is designed by Giannone Petricone Associates Inc. and will feature interior design by Patton Design Studio. Development is scheduled to be completed in 2023. The project is 11 storeys tall and has a total of 345 suites ranging from 435 sq.ft to 1318 sq.ft. Suites are priced from $953,900 to $953,900.",Complete,Yes,"$45,000",Yes,Included (1),Condo &Townhouse,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - Occupancy || "
"Pearl Place Condos is a new condominium development by The Conservatory Group currently under construction located at 19 Hollywood Avenue, Toronto in the Willowdale neighbourhood with a 97/100 walk score and a 94/100 transit score. Pearl Place Condos is designed by Zeidler Architecture. Development is scheduled to be completed in 2024. The project is 34 storeys tall and has a total of 478 suites ranging from 482 sq.ft to 1049 sq.ft. Suites are priced from $1,139,900 to $1,321,900.",Under Construction,Yes,"$65,000",Yes,Included (1),Condo,"$5,000.00 On Signing || Balance to 2.5% - 90 days || 2.5% - 180 days || 10% - Occupancy || "
"Groove Urban Condos is a new condominium development by Block Developments currently in pre-construction located at 133 Vaughan Road, Toronto in the Hillcrest Village St Clair-Humewood neighbourhood with a 86/100 walk score and a 85/100 transit score. Groove Urban Condos is designed by RAW Design and will feature interior design by Tomas Pearce Interior Design Consulting Inc.. Development is scheduled to be completed in 2024. The project is 15 storeys tall and has a total of 152 suites ranging from 416 sq.ft to 1200 sq.ft. Suites are priced from $781,990 to $1,669,990.",Pre-Construction,Yes,"$84,990",Yes,"$9,990",Condo,"$5,000.00 On Signing || Balance to 2.5% - 30 days || 2.5% - 90 days || 2.5% - 150 days || 2.5% - 210 days || 2.5% - 540 days || 2.5% - 720 days || 5% - Occupancy || "
"South Forest Hill Residences is a new condominium development by Parallax Development Corporation & Westdale Properties currently in pre-construction located at 63 Montclair Avenue, Toronto in the Forest Hill neighbourhood with a 84/100 walk score and a 82/100 transit score. South Forest Hill Residences is designed by IBI Group and will feature interior design by Figure3. Development is scheduled to be completed in 2026. The project is 19 storeys tall and has a total of 417 suites ranging from 416 sq.ft to 1416 sq.ft. Suites are priced from $921,990 to $921,990.",Pre-Construction,Yes,"$129,000",Yes,Waitlist,Condo &Townhouse,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - Oct 15, 2023 || 2.5% - 540 days || 2.5% - 720 days || 5% - Occupancy || "
"The Dupont Condos is a new condominium development by Tridel currently under construction located at 840 Dupont Street, Toronto in the Davenport-Wychwood neighbourhood with a 70/100 walk score and a 81/100 transit score. The Dupont Condos is designed by Turner Fleischer Architects and will feature interior design by U31. Development is scheduled to be completed in 2025. The project is 9 storeys tall and has a total of 349 suites ranging from 532 sq.ft to 1288 sq.ft. Suites are priced from $1,140,000 to $1,620,000.",Under Construction,Yes,"$69,000",Yes,-,Condo,5% On Signing || 5% - 120 days || 5% - 365 days || 5% - 450 days || 
"One Delisle Condos is a new condominium development by Slate Asset Management currently under construction located at 1 Delisle Avenue, Toronto in the Deer Park neighbourhood with a 93/100 walk score and a 88/100 transit score. One Delisle Condos is designed by WZMH Architects , ERA Architects and Studio Gang Architects and will feature interior design by Mason Studio and Studio Gang Architects. Development is scheduled to be completed in 2026. The project is 44 storeys tall and has a total of 371 suites ranging from 328 sq.ft to 3171 sq.ft. Suites are priced from $1,396,900 to $11,959,900.",Under Construction,Yes,"$180,000",Yes,Waitlist,Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 2.5% - 720 days || 2.5% - 1095 days || 5% - Occupancy || "
"Pearl Place 2 Condos is a new condominium development by The Conservatory Group currently in pre-construction located at 19 Hollywood Avenue, Toronto in the Willowdale neighbourhood with a 97/100 walk score and a 92/100 transit score. Pearl Place 2 Condos is designed by Zeidler Architecture. Development is scheduled to be completed in 2022. The project is 34 storeys tall and has a total of 478 suites ranging from 482 sq.ft to 926 sq.ft. Suites are priced from $519,900 to $1,079,900.",Pre-Construction,Yes,"$65,000",Yes,Included (1),Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || 5% - 270 days || 5% - 540 days || "
"UOVO Boutique Residences is a new condominium development by The Sher Corporation currently under construction located at 2114 Yonge Street, Toronto in the Chaplin Estates neighbourhood with a 98/100 walk score and a 95/100 transit score. UOVO Boutique Residences is designed by RAW Design and will feature interior design by EsQape Design Inc.. Development is scheduled to be completed in 2023. The project is 12 storeys tall and has a total of 70 suites ranging from 626 sq.ft to 2009 sq.ft. Suites are priced from $989,900 to $3,299,900.",Under Construction,Yes,"$90,000",Yes,"$7,500",Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 5% - 270 days || "
"Rise Condos is a new condominium development by Reserve Properties that is now complete located at 501 St Clair Avenue West, Toronto in the Casa Loma neighbourhood with a 93/100 walk score and a 90/100 transit score. Rise Condos is designed by Graziani + Corazza Architects Inc. and will feature interior design by II BY IV DESIGN. Development is scheduled to be completed in 2018. The project is 21 storeys tall (75.3m, 247.0ft) and has a total of 283 suites ranging from 280 sq.ft to 865 sq.ft. Rise Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $699,900 to $824,900.",Complete,Yes,Included (1),Yes,"$10,000",Condo,"$5,000.00 On Signing || Balance to 5% - 10 days || 10% - Occupancy || "
"The Forest Hill Condos is a new condominium development by CentreCourt currently under construction located at 859 Eglinton Avenue West, Toronto in the Cedarvale-Oakwood Vaughan neighbourhood with a 93/100 walk score and a 80/100 transit score. The Forest Hill Condos is designed by BDP Quadrangle and will feature interior design by Figure3. Development is scheduled to be completed in 2023. The project is 14 storeys tall and has a total of 350 suites ranging from 355 sq.ft to 1181 sq.ft. Suites are priced from $690,000 to $690,000.",Under Construction,Yes,"$110,000",Yes,"$10,000",Condo,"$10,000.00 On Signing || Balance to 5% - 30 days || 5% - 120 days || "
"Daniels FirstHome™ Keelesdale Phase 3 is a new condominium development by Diamondcorp & Kilmer Group & The Daniels Corporation currently under construction located at 2175 Keele Street, Toronto in the Silverthorn neighbourhood with a 51/100 walk score and a 65/100 transit score. Daniels FirstHome™ Keelesdale Phase 3 is designed by Graziani + Corazza Architects Inc.. Development is scheduled to be completed in 2024.  ranging from 504 sq.ft to 1349 sq.ft. Suites are priced from $584,900 to $1,017,900.",Under Construction,Yes,"$58,800",Yes,"$5,000",Condo &Townhouse,"$7,500.00 On Signing || Balance to 5% - 30 days || 2.5% - 180 days || 2.5% - Occupancy || "
"The One Condos is a new condominium development by Mizrahi Developments currently under construction located at 1 Bloor Street West, Toronto in the Yorkville neighbourhood with a 100/100 walk score and a 100/100 transit score. The One Condos is designed by Foster + Partners & CORE Architects. Development is scheduled to be completed in 2024. The project is 85 storeys tall (328.6m, 1078.0ft) and has a total of 416 suites ranging from 591 sq.ft to 6037 sq.ft. The One Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $3,697,888 to $31,620,888.",Under Construction,Yes,-,Yes,-,Condo &Luxury,"$20,000.00 On Signing || Balance to 5% - 30 days || 5% - 90 days || 5% - 180 days || 5% - 360 days || 5% - Occupancy || "
"The Yorkdale Towns – On The Park is a new condominium development by Context & Metropia Urban Landscapes currently in pre-construction located at Ranee Avenue, Toronto in the Lawrence Manor neighbourhood with a 68/100 walk score and a 92/100 transit score. The Yorkdale Towns – On The Park is designed by TACT Architecture Inc. and will feature interior design by TACT Design. The project has a total of 54 suites.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"Vita on the Lake Condos is a new condominium development by Biddington Homes & Mattamy Homes currently under construction located at 2480 Yonge Street, Toronto in the Lytton Park neighbourhood with a 59/100 walk score and a 65/100 transit score. Vita on the Lake Condos is designed by Graziani + Corazza Architects Inc. and will feature interior design by U31. Development is scheduled to be completed in 2022. The project is 53 storeys tall (167.0m, 547.9ft) and has a total of 489 suites ranging from 524 sq.ft to 1746 sq.ft. Vita on the Lake Condos is the # tallest condominium in  and the # tallest condominium in . Suites are priced from $1,539,990 to $1,539,990.",Under Construction,Yes,Included (1),Yes,Included (1),Condo &Luxury,"5% On Signing || 5% - Jan 17, 2022 || 5% - Occupancy || "
"Westmount Boutique Residences is a new condominium development by Quadcam Development Group Incorporated currently under construction located at 700 Sheppard Avenue West, Toronto in the Bathurst Manor neighbourhood with a 71/100 walk score and a 69/100 transit score. Westmount Boutique Residences is designed by KFA Architects and Planners. Development is scheduled to be completed in 2026. The project is 10 storeys tall and has a total of 134 suites ranging from 530 sq.ft to 1114 sq.ft. Suites are priced from $759,880 to $1,570,880.",Under Construction,Yes,"$52,000",Yes,"$9,000",Condo,"$5,000.00 On Signing || Balance to 5% - 30 days || 2.5% - 120 days || 2.5% - 365 days || 2.5% - 540 days || 2.5% - 650 days || 3% - 760 days || 2% - Occupancy || "
"Junction Square Condos is a new condominium development by Block Developments currently in pre-construction located at 410 Keele Street, Toronto in the The Junction neighbourhood with a 93/100 walk score and a 76/100 transit score. Junction Square Condos is designed by RAW Design and ERA Architects and will feature interior design by Author. The project is 5 storeys tall and has a total of 65 suites ranging from 430 sq.ft to 1289 sq.ft.",Pre-Construction,Yes,"$85,990",Yes,-,Condo,"$5,000.00 On Signing || Balance to 2.5% - 30 days || 2.5% - 90 days || 2.5% - 180 days || 2.5% - 270 days || 2.5% - 540 days || 2.5% - 720 days || 5% - Occupancy || "
"808 Mount Pleasant Road Condos is a new condominium development by Streetwise Capital Partners currently in pre-construction located at 808 Mount Pleasant Road, Toronto in the Yonge & Eglinton neighbourhood with a 96/100 walk score and a 90/100 transit score. 808 Mount Pleasant Road Condos is designed by Sweeny & Co.. The project is 35 storeys tall and has a total of 514 suites. 808 Mount Pleasant Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"2686 Bayview Avenue Towns is a new condominium development by Forest Heights Development currently in pre-construction located at 2686 Bayview Avenue, Toronto in the York Mills-Denlow neighbourhood with a 48/100 walk score and a 67/100 transit score. 2686 Bayview Avenue Towns is designed by MO+Design Studio. The project is 3 storeys tall and has a total of 11 suites. 2686 Bayview Avenue Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Single Family Home &Townhouse,
"2400 Eglinton Avenue West Condos is a new condominium development by SmartCentres currently in pre-construction located at 2400 Eglinton Avenue West, Toronto in the Silverthorn neighbourhood with a 70/100 walk score and a 66/100 transit score. The project is 35 storeys tall and has a total of 397 suites. 2400 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"16 Denarda Street Condos is a new condominium development by KingSett Capital currently in pre-construction located at 16 Denarda Street, Toronto in the Mt Dennis neighbourhood with a 85/100 walk score and a 71/100 transit score. 16 Denarda Street Condos is designed by Giannone Petricone Associates Inc.. The project is 43 storeys tall and has a total of 561 suites. 16 Denarda Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"720 Sheppard Avenue East Condos is a new condominium development by Sky Property Group currently in pre-construction located at 720 Sheppard Avenue East, Toronto in the Bayview Village neighbourhood with a 86/100 walk score and a 71/100 transit score. 720 Sheppard Avenue East Condos is designed by Kirkor Architects and Planners. The project is 29 storeys tall and has a total of 545 suites. 720 Sheppard Avenue East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"60 Balliol Street Condos is a new condominium development by Osmington Gerofsky Development Corp currently in pre-construction located at 60 Balliol Street, Toronto in the Davisville Village neighbourhood with a 98/100 walk score and a 80/100 transit score. 60 Balliol Street Condos is designed by Wallman Architects. The project is 39 storeys tall and has a total of 526 suites. 60 Balliol Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Bayview Condos is a new condominium development by Oikoi Living currently in pre-construction located at 1454 Bayview Avenue, Toronto in the Davisville Village neighbourhood with a 97/100 walk score and a 64/100 transit score. The project is 3 storeys tall and has a total of 4 suites. Bayview Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"374-388 Dupont Street Condos is a new condominium development by Plaza Partners currently in pre-construction located at 374 Dupont Street, Toronto in the Casa Loma neighbourhood with a 97/100 walk score and a 91/100 transit score. 374-388 Dupont Street Condos is designed by BDP Quadrangle. The project is 12 storeys tall and has a total of 256 suites. 374-388 Dupont Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"699 Yonge Street Condos is a new condominium development by Concord Adex currently in pre-construction located at 699 Yonge Street, Toronto in the Church & Wellesley neighbourhood with a 100/100 walk score and a 91/100 transit score. 699 Yonge Street Condos is designed by DIALOG. The project is 64 storeys tall and has a total of 514 suites. 699 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"145 St George Street Condos is a new condominium development by Tenblock Developments currently in pre-construction located at 145 Saint George Street, Toronto in the The Annex neighbourhood with a 98/100 walk score and a 97/100 transit score. 145 St George Street Condos is designed by architectsAlliance. The project is 28 storeys tall and has a total of 256 suites. 145 St George Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"16 Kirtling Place Towns is a new condominium development by Format Group currently in pre-construction located at 16 Kirtling Place, Toronto in the York Mills-Denlow neighbourhood with a 62/100 walk score and a 56/100 transit score. 16 Kirtling Place Towns is designed by Richard Wengle Architect Inc.. The project is 3 storeys tall and has a total of 7 suites. 16 Kirtling Place Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"576 Sherbourne Street Condos is a new condominium development by Platinum Vista currently in pre-construction located at 576 Sherbourne Street, Toronto in the Cabbagetown neighbourhood with a 97/100 walk score and a 88/100 transit score. 576 Sherbourne Street Condos is designed by IBI Group. The project is 59 storeys tall and has a total of 670 suites. 576 Sherbourne Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"350 Bloor Street East Condos is a new condominium development by Osmington Gerofsky Development Corp currently in pre-construction located at 350 Bloor Street East, Toronto in the Yorkville neighbourhood with a 97/100 walk score and a 88/100 transit score. 350 Bloor Street East Condos is designed by Hariri Pontarini Architects. The project is 63 storeys tall and has a total of 675 suites. 350 Bloor Street East Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"444 Eglinton Avenue West Condos is a new condominium development by Arista Homes currently in pre-construction located at 444 Eglinton Avenue West, Toronto in the Allenby neighbourhood with a 95/100 walk score and a 82/100 transit score. 444 Eglinton Avenue West Condos is designed by CORE Architects. The project is 19 storeys tall and has a total of 185 suites. 444 Eglinton Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"361 Davenport Road Condos is a new condominium development by Bianca Pollak currently in pre-construction located at 361 Davenport Road, Toronto in the The Annex neighbourhood with a 90/100 walk score and a 90/100 transit score. 361 Davenport Road Condos is designed by KFA Architects and Planners & ElasticoSPA. The project is 7 storeys tall and has a total of 16 suites. 361 Davenport Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"425 Bloor Street West Condos is a new condominium development by Andrin Homes & Lakeview Homes & Streetwise Capital Partners & The Brown Group of Companies currently in pre-construction located at 425 Bloor Street West, Toronto in the University Of Toronto neighbourhood with a 96/100 walk score and a 98/100 transit score. 425 Bloor Street West Condos is designed by IBI Group. The project is 30 storeys tall and has a total of 418 suites. 425 Bloor Street West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"126 Union Street Condos is a new condominium development by  currently in pre-construction located at 126 Union Street, Toronto in the Silverthorn neighbourhood with a 72/100 walk score and a 74/100 transit score. 126 Union Street Condos is designed by TACT Architecture Inc.. The project is 34 storeys tall and has a total of 588 suites. 126 Union Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"214 Merton Street Condos is a new condominium development by KingSett Capital currently in pre-construction located at 214 Merton Street, Toronto in the Davisville Village neighbourhood with a 82/100 walk score and a 79/100 transit score. 214 Merton Street Condos is designed by BDP Quadrangle. The project is 35 storeys tall and has a total of 386 suites. 214 Merton Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1087 Yonge Street Condos is a new condominium development by Zinc Developments currently in pre-construction located at 1087 Yonge Street, Toronto in the Rosedale neighbourhood with a 89/100 walk score and a 87/100 transit score. 1087 Yonge Street Condos is designed by architectsAlliance. The project is 15 storeys tall and has a total of 136 suites. 1087 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1799 St Clair Avenue West Condos is a new condominium development by Sequoia Grove Homes currently in pre-construction located at  1799 Saint Clair Avenue West, Toronto in the The Junction neighbourhood with a 89/100 walk score and a 77/100 transit score. 1799 St Clair Avenue West Condos is designed by IBI Group. The project is 45 storeys tall and has a total of 1,151 suites. 1799 St Clair Avenue West Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"St. Clements Towns is a new condominium development by Balder Corporation currently in pre-construction located at 340 Saint Clements Avenue, Toronto in the Lytton Park neighbourhood with a 64/100 walk score and a 79/100 transit score. St. Clements Towns is designed by Architecture Unfolded. The project is 3 storeys tall and has a total of 6 suites. St. Clements Towns is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Townhouse,
"1910 Yonge Street Condos is a new condominium development by Davpart Inc. currently in pre-construction located at 1910 Yonge Street, Toronto in the Chaplin Estates neighbourhood with a 90/100 walk score and a 80/100 transit score. 1910 Yonge Street Condos is designed by Graziani + Corazza Architects Inc.. The project is 53 storeys tall and has a total of 939 suites. 1910 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"189 Old Weston Road Condos is a new condominium development by Limen currently in pre-construction located at 189 Old Weston Road, Toronto in the Rockcliffe-Smythe neighbourhood with a 73/100 walk score and a 77/100 transit score. 189 Old Weston Road Condos is designed by TACT Architecture Inc.. The project is 27 storeys tall and has a total of 405 suites. 189 Old Weston Road Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"1 Alexandra Boulevard Condos is a new condominium development by Triage Development Corp. currently in pre-construction located at 2674 Yonge Street, Toronto in the Lytton Park neighbourhood with a 79/100 walk score and a 80/100 transit score. 1 Alexandra Boulevard Condos is designed by Studio JCI. The project is 9 storeys tall and has a total of 60 suites. 1 Alexandra Boulevard Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"10 St Mary Street Condos is a new condominium development by Mattamy Homes currently in pre-construction located at 10 Saint Mary Street, Toronto in the Discovery District neighbourhood with a 99/100 walk score and a 92/100 transit score. 10 St Mary Street Condos is designed by architectsAlliance and will feature interior design by Figure3. The project is 50 storeys tall and has a total of 495 suites. 10 St Mary Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"The Hangar District Condos is a new condominium development by Northcrest currently in pre-construction located at 123 Garratt Boulevard, Toronto in the Downsview neighbourhood with a 5/100 walk score and a 63/100 transit score. The Hangar District Condos is designed by Perkins Eastman. The project is 14 storeys tall and has a total of 2,850 suites. The Hangar District Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"931 Yonge Street Condos is a new condominium development by CreateTO currently in pre-construction located at 931 Yonge Street, Toronto in the Yorkville neighbourhood with a 96/100 walk score and a 87/100 transit score. 931 Yonge Street Condos is designed by Zeidler Architecture. The project is 21 storeys tall and has a total of 165 suites. 931 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Canada Square Redevelopment Condos is a new condominium development by CT REIT & Oxford Properties currently in pre-construction located at 2180 Yonge Street, Toronto in the Chaplin Estates neighbourhood with a 92/100 walk score and a 92/100 transit score. Canada Square Redevelopment Condos is designed by Hariri Pontarini Architects. The project is 65 storeys tall and has a total of 2892 suites. Canada Square Redevelopment Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"632 Northcliffe Boulevard Condos is a new condominium development by Stanford Homes currently in pre-construction located at 632 Northcliffe Boulevard, Toronto in the Cedarvale-Oakwood Vaughan neighbourhood with a 69/100 walk score and a 80/100 transit score. 632 Northcliffe Boulevard Condos is designed by superkül. The project is 38 storeys tall and has a total of 419 suites. 632 Northcliffe Boulevard Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"133 Erskine Avenue Condos is a new condominium development by Minett Capital Inc currently in pre-construction located at 133 Erskine Avenue, Toronto in the Yonge & Eglinton neighbourhood with a 86/100 walk score and a 86/100 transit score. 133 Erskine Avenue Condos is designed by IBI Group. The project is 31 storeys tall and has a total of 296 suites. 133 Erskine Avenue Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
"Starklands Condos is a new condominium development by  currently in pre-construction located at 119 Benny Stark Street, Toronto in the Silverthorn neighbourhood with a 80/100 walk score and a 74/100 transit score. Starklands Condos is designed by TACT Architecture Inc.. The project is 46 storeys tall and has a total of 1,818 suites. Starklands Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo &Townhouse,
"625 Yonge Street Condos is a new condominium development by Edenshaw Developments Limited currently in pre-construction located at 625 Yonge Street, Toronto in the Church & Wellesley neighbourhood with a 99/100 walk score and a 98/100 transit score. 625 Yonge Street Condos is designed by Page + Steele IBI Group Architects. The project is 46 storeys tall and has a total of 354 suites. 625 Yonge Street Condos is currently in Registration Phase.",Pre-Construction,Yes,-,Yes,-,Condo,
